bodyType,color,fuelType,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,Price
хэтчбек 5 дв.,белый,Бензин,2013,автоматическая,1.6,136,140894,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,576000
хэтчбек 5 дв.,оранжевый,Бензин,2013,автоматическая,1.6,136,69000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,700000
хэтчбек 5 дв.,чёрный,Бензин,2012,автоматическая,1.6,170,99500,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,630000
хэтчбек 5 дв.,чёрный,Бензин,2012,автоматическая,1.6,136,132000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,625000
хэтчбек 5 дв.,белый,Дизель,2011,механическая,2.0,177,218000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,540000
хэтчбек 5 дв.,чёрный,Бензин,2008,автоматическая,2.0,156,125000,задний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,,420000
хэтчбек 5 дв.,красный,Бензин,2008,автоматическая,1.6,115,110000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,1 год и 10 месяцев,350000
хэтчбек 5 дв.,белый,Бензин,2012,автоматическая,1.6,170,126000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,685000
хэтчбек 5 дв.,чёрный,Бензин,2012,автоматическая,1.6,136,148729,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,574000
хэтчбек 5 дв.,красный,Бензин,2013,автоматическая,1.6,136,96864,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,687000
хэтчбек 5 дв.,чёрный,Бензин,2019,автоматическая,1.5,136,10600,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,1 год и 1 месяц,1750000
хэтчбек 5 дв.,чёрный,Бензин,2007,автоматическая,3.0,265,155000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 месяца,580000
хэтчбек 5 дв.,чёрный,Бензин,2007,автоматическая,2.0,136,126000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет и 3 месяца,440000
хэтчбек 5 дв.,белый,Бензин,2012,автоматическая,1.6,136,116000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,7 месяцев,620000
хэтчбек 5 дв.,синий,Бензин,2006,автоматическая,2.0,129,210000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,350000
хэтчбек 3 дв.,красный,Бензин,2010,автоматическая,1.6,115,101740,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,457900
хэтчбек 5 дв.,голубой,Дизель,2013,автоматическая,2.0,184,123000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,2 года и 6 месяцев,925000
кабриолет,серый,Бензин,2008,автоматическая,3.0,218,126000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,8 лет и 3 месяца,850000
купе,чёрный,Дизель,2008,автоматическая,2.0,177,167266,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 года и 3 месяца,700000
хэтчбек 5 дв.,чёрный,Бензин,2011,автоматическая,1.6,136,114500,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,609000
хэтчбек 5 дв.,белый,Бензин,2015,автоматическая,1.5,136,32506,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 1 месяц,1200000
хэтчбек 5 дв.,чёрный,Бензин,2007,автоматическая,2.0,156,135000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,600000
хэтчбек 3 дв.,белый,Бензин,2010,автоматическая,1.6,115,96000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 1 месяц,430000
хэтчбек 3 дв.,бежевый,Дизель,2007,автоматическая,2.0,177,230000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,500000
хэтчбек 5 дв.,белый,Бензин,2011,автоматическая,1.6,115,106000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,550000
хэтчбек 5 дв.,синий,Бензин,2012,автоматическая,1.6,136,89000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет и 5 месяцев,670000
хэтчбек 5 дв.,оранжевый,Бензин,2012,автоматическая,1.6,170,101000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,3 года и 8 месяцев,930000
хэтчбек 3 дв.,белый,Бензин,2011,автоматическая,1.6,115,126944,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 1 месяц,450000
хэтчбек 5 дв.,красный,Бензин,2012,автоматическая,1.6,136,137000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,3 года и 9 месяцев,630000
хэтчбек 5 дв.,чёрный,Бензин,2013,автоматическая,1.6,136,107002,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,730000
хэтчбек 5 дв.,оранжевый,Бензин,2019,автоматическая,1.5,136,10358,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1869000
хэтчбек 5 дв.,серебристый,Бензин,2008,автоматическая,2.0,156,151000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 11 месяцев,425000
хэтчбек 5 дв.,чёрный,Бензин,2008,автоматическая,1.6,115,90000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год,430000
хэтчбек 3 дв.,чёрный,Бензин,2013,автоматическая,1.6,136,82500,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,820000
хэтчбек 5 дв.,серый,Бензин,2006,автоматическая,3.0,265,120000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,6 лет и 4 месяца,565000
