bodyType,color,fuelType,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,Price
седан,чёрный,Дизель,2012,автоматическая,2.0,184,123500,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 2 месяца,1125000
седан,чёрный,Бензин,2016,автоматическая,2.0,184,95000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1600000
седан,красный,Бензин,2005,автоматическая,2.5,218,270000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,5 лет и 1 месяц,485000
седан,синий,Бензин,2011,автоматическая,3.0,306,70000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,5 лет,1500000
седан,чёрный,Бензин,2015,автоматическая,2.0,184,106000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,1 год и 9 месяцев,1150000
седан,чёрный,Бензин,2001,механическая,2.5,192,390000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,5 лет и 11 месяцев,300000
седан,синий,Бензин,2003,автоматическая,3.0,231,268000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,490000
универсал 5 дв.,чёрный,Дизель,2008,автоматическая,2.0,177,173000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 1 месяц,619000
седан,чёрный,Дизель,2017,автоматическая,2.0,190,148262,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,2 года и 8 месяцев,1815000
седан,белый,Дизель,2019,автоматическая,2.0,190,44000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,2700000
седан,чёрный,Бензин,2008,автоматическая,2.5,218,271000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,590000
седан,серый,Дизель,2015,автоматическая,3.0,258,103000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,2 года и 6 месяцев,1850000
седан,белый,Бензин,2016,автоматическая,2.0,245,55003,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1900000
седан,серый,Бензин,2013,автоматическая,2.0,184,109000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,6 лет и 4 месяца,1110000
лифтбек,чёрный,Бензин,2009,автоматическая,3.0,306,92000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,1200000
седан,бежевый,Бензин,2012,автоматическая,2.0,245,128400,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,890000
седан,серый,Бензин,2013,автоматическая,2.0,245,85035,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1335000
универсал 5 дв.,чёрный,Дизель,2005,автоматическая,3.0,272,171000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,950000
седан,серебристый,Бензин,2017,автоматическая,2.0,184,24000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,2130000
седан,белый,Бензин,2015,автоматическая,2.0,245,103000,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,1495000
седан,чёрный,Бензин,2011,автоматическая,3.0,258,105000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1200000
седан,синий,Бензин,1993,механическая,1.8,115,210000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год,150000
седан,серый,Бензин,2013,автоматическая,2.0,184,85000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1300000
седан,чёрный,Бензин,2005,автоматическая,2.5,192,330000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,450000
лифтбек,белый,Дизель,2010,автоматическая,3.0,245,220000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,1350000
седан,чёрный,Бензин,2013,автоматическая,2.0,245,113000,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1215000
седан,серебристый,Бензин,2002,автоматическая,3.0,231,216800,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,3 года и 9 месяцев,730000
седан,синий,Дизель,2014,автоматическая,2.0,218,194864,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1157000
седан,серый,Бензин,1992,механическая,2.0,150,350000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,150000
седан,чёрный,Дизель,2017,автоматическая,2.0,190,120000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1955000
седан,синий,Дизель,2012,автоматическая,3.0,258,170000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,8 лет,1050000
седан,коричневый,Бензин,2003,автоматическая,2.2,170,260000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 года и 6 месяцев,399999
седан,чёрный,Дизель,2016,автоматическая,2.0,190,70000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,3 года и 4 месяца,1850000
седан,серебристый,Бензин,2003,автоматическая,3.0,231,100000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,530000
седан,синий,Бензин,1995,автоматическая,2.0,150,450000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,130000
седан,чёрный,Бензин,2013,автоматическая,2.0,245,68200,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,6 лет и 4 месяца,1399000
седан,синий,Бензин,2016,автоматическая,2.0,184,114167,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,3 года и 6 месяцев,1499000
седан,серый,Дизель,2018,автоматическая,3.0,249,17000,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,1 год и 7 месяцев,3690000
седан,чёрный,Бензин,2013,автоматическая,2.0,245,142000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,11 месяцев,1250000
седан,белый,Дизель,2013,автоматическая,2.0,184,148267,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1148000
седан,коричневый,Бензин,1999,автоматическая,2.5,170,390000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,1 год и 10 месяцев,370000
седан,зелёный,Бензин,2000,механическая,2.0,150,200000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,285000
седан,серебристый,Бензин,2007,автоматическая,2.5,218,187000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,680000
седан,белый,Бензин,2012,автоматическая,3.0,306,110000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1470000
седан,серый,Бензин,2016,автоматическая,2.0,184,118000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,3 года и 6 месяцев,1600000
седан,серебристый,Дизель,2018,автоматическая,3.0,249,4900,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 4 месяца,4350000
седан,чёрный,Дизель,2019,автоматическая,2.0,190,8200,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,2800000
седан,чёрный,Бензин,2015,автоматическая,2.0,184,93000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,11 месяцев,1370000
седан,серебристый,Бензин,2003,автоматическая,3.0,231,295000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,520000
седан,синий,Дизель,2015,автоматическая,2.0,190,148000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,4 года и 5 месяцев,1390000
седан,чёрный,Бензин,2013,автоматическая,2.0,184,125000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,7 лет и 3 месяца,1090000
седан,серебристый,Бензин,2010,автоматическая,2.5,204,87800,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 10 месяцев,1250000
седан,белый,Бензин,2013,автоматическая,2.0,184,225000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,4 года и 1 месяц,980000
седан,серый,Бензин,2014,автоматическая,2.0,245,100000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1315000
седан,белый,Дизель,2015,автоматическая,2.0,218,124602,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1490000
седан,чёрный,Бензин,2002,автоматическая,2.5,192,300000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,350000
седан,зелёный,Бензин,2005,автоматическая,2.2,170,191000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,520000
седан,серебристый,Бензин,2013,автоматическая,2.0,245,118000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1180000
седан,чёрный,Дизель,2013,автоматическая,2.0,184,160000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,1300000
седан,чёрный,Дизель,2016,автоматическая,3.0,258,179000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1700000
седан,коричневый,Бензин,2013,автоматическая,2.0,184,120000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 10 месяцев,970000
седан,синий,Бензин,1998,автоматическая,2.5,170,350000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,175000
седан,серебристый,Бензин,2011,автоматическая,3.0,258,144000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 10 месяцев,870000
седан,серый,Бензин,2012,автоматическая,2.0,184,122000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,990000
седан,чёрный,Бензин,2011,автоматическая,3.0,258,134000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1250000
седан,чёрный,Дизель,2017,автоматическая,2.0,190,94000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,2 года и 5 месяцев,1990000
седан,серебристый,Бензин,2007,автоматическая,2.5,218,220000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 9 месяцев,600000
седан,белый,Дизель,2016,автоматическая,2.0,190,193000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1400000
седан,белый,Дизель,2014,автоматическая,2.0,184,224000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1149000
универсал 5 дв.,белый,Дизель,2009,автоматическая,2.0,163,260000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,800000
седан,серебристый,Бензин,2006,автоматическая,4.0,306,222222,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,2 года и 4 месяца,888888
седан,чёрный,Дизель,2008,автоматическая,2.0,177,237000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,612000
седан,белый,Бензин,2003,автоматическая,3.0,231,240000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,11 месяцев,500000
седан,чёрный,Бензин,2015,автоматическая,2.0,184,108000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 месяца,1950000
седан,пурпурный,Бензин,1989,автоматическая,2.5,170,361000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,4 месяца,95000
седан,чёрный,Дизель,2012,автоматическая,2.0,218,150000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1220000
седан,чёрный,Бензин,2001,механическая,2.2,170,284000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,275000
седан,чёрный,Бензин,2006,автоматическая,3.0,258,312749,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,548000
седан,синий,Бензин,2005,автоматическая,3.0,258,320000,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,515000
седан,серый,Бензин,2006,автоматическая,2.5,218,290320,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,520000
седан,белый,Бензин,2016,механическая,2.0,184,87600,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,3 года и 6 месяцев,1685000
седан,чёрный,Дизель,2008,механическая,2.0,163,169000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,750000
седан,белый,Бензин,2016,автоматическая,2.0,184,80000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1690000
седан,серый,Бензин,1997,автоматическая,2.0,150,320000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,215000
седан,коричневый,Дизель,2016,автоматическая,2.0,190,86000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,4 года,1570000
лифтбек,белый,Дизель,2011,автоматическая,3.0,245,153300,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,5 лет и 10 месяцев,1830000
седан,чёрный,Бензин,1997,механическая,2.5,170,450000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,1 год и 3 месяца,210000
седан,чёрный,Бензин,2004,автоматическая,4.4,333,260000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,620000
седан,чёрный,Дизель,2016,автоматическая,2.0,190,33700,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 года и 1 месяц,1900000
седан,серый,Дизель,2000,автоматическая,2.9,184,360000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,4 года и 8 месяцев,270000
седан,чёрный,Дизель,2011,автоматическая,3.0,258,132361,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1070000
универсал 5 дв.,синий,Бензин,1997,механическая,2.0,150,347000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,400000
седан,белый,Бензин,2013,автоматическая,2.0,245,85000,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,1390000
седан,серый,Бензин,2008,автоматическая,2.0,170,249000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,530000
универсал 5 дв.,синий,Дизель,2008,механическая,2.0,163,244000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,620000
седан,чёрный,Бензин,1991,механическая,2.0,150,327172,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,345000
седан,чёрный,Дизель,2018,автоматическая,2.0,190,95000,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,1 год и 6 месяцев,1950000
седан,серебристый,Дизель,2007,автоматическая,3.0,197,401000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,4 года и 3 месяца,850000
седан,белый,Бензин,2014,автоматическая,2.0,184,165000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,5 лет и 4 месяца,1300000
седан,чёрный,Дизель,2019,автоматическая,2.0,190,38000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,10 месяцев,2400000
седан,серый,Дизель,2011,автоматическая,3.0,258,125000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,4 года и 3 месяца,1380000
лифтбек,белый,Бензин,2012,автоматическая,3.0,306,157000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1100000
седан,чёрный,Бензин,2011,автоматическая,3.0,258,200000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,880000
седан,синий,Бензин,2003,автоматическая,2.5,192,274000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 9 месяцев,505000
седан,серый,Бензин,2007,автоматическая,3.0,272,210000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,700000
седан,белый,Бензин,1997,механическая,2.0,150,149000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 1 месяц,490000
седан,серый,Бензин,2004,автоматическая,3.0,231,274000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,7 месяцев,630000
седан,белый,Бензин,2010,автоматическая,3.0,258,196000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 2 месяца,1050000
седан,бежевый,Дизель,2012,автоматическая,3.0,258,110000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,7 лет и 5 месяцев,1350000
седан,синий,Бензин,2004,автоматическая,3.0,231,300000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,1 год и 11 месяцев,450000
седан,серый,Бензин,2000,автоматическая,2.5,170,430000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,320000
седан,серый,Дизель,2011,автоматическая,3.0,258,235000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1049000
седан,белый,Дизель,2015,автоматическая,2.0,218,180000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 11 месяцев,1500000
седан,белый,Бензин,2012,автоматическая,2.0,245,63100,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1499999
седан,серый,Дизель,2013,автоматическая,2.0,184,230000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,4 года и 7 месяцев,1063000
седан,синий,Дизель,2015,автоматическая,2.0,190,180000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,5 лет,1250000
седан,чёрный,Бензин,2008,автоматическая,2.0,156,188000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,750000
седан,чёрный,Бензин,2018,автоматическая,2.0,184,60000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,1 год и 4 месяца,2600000
лифтбек,серый,Бензин,2009,автоматическая,3.0,306,102000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,980000
седан,чёрный,Бензин,2018,автоматическая,2.0,184,5000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,2900000
седан,коричневый,Дизель,2014,автоматическая,3.0,258,104000,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,1900000
седан,серебристый,Дизель,2011,автоматическая,3.0,258,112000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1320000
седан,синий,Бензин,2013,автоматическая,2.0,184,139000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,3 года и 4 месяца,945000
универсал 5 дв.,серебристый,Дизель,2002,автоматическая,2.5,163,381000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,280000
седан,белый,Бензин,2012,автоматическая,2.0,245,116000,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,1 год и 3 месяца,1190000
седан,голубой,Бензин,1990,механическая,2.0,150,304176,задний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,,90000
седан,чёрный,Бензин,2004,автоматическая,2.5,192,322000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,7 месяцев,650000
седан,белый,Бензин,2016,автоматическая,2.0,184,38000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,4 года и 3 месяца,1950000
седан,серебристый,Бензин,2008,автоматическая,2.5,218,175000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,650000
седан,чёрный,Бензин,2003,автоматическая,3.0,231,246000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 4 месяца,650000
седан,белый,Бензин,1993,механическая,1.8,113,300000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,215000
седан,чёрный,Бензин,2014,автоматическая,2.0,184,170000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,2 года и 2 месяца,1330000
седан,чёрный,Бензин,2012,автоматическая,2.0,245,192000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,5 лет и 2 месяца,1000000
седан,чёрный,Дизель,2019,автоматическая,2.0,190,45000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,11 месяцев,2300000
седан,белый,Бензин,2013,автоматическая,2.0,245,150000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет и 7 месяцев,1540000
седан,серый,Бензин,2011,автоматическая,2.5,204,109000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,9 лет,1090000
седан,чёрный,Дизель,2015,автоматическая,3.0,258,100828,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,5 месяцев,1750000
седан,белый,Бензин,2016,автоматическая,2.0,245,37000,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,3 года,2250000
седан,зелёный,Бензин,2000,автоматическая,2.8,193,550000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,200000
седан,чёрный,Бензин,2013,автоматическая,2.0,184,120000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,2 года и 6 месяцев,1099000
седан,синий,Бензин,2000,механическая,2.0,150,312800,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,215000
седан,зелёный,Бензин,1999,автоматическая,2.5,170,250000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,260000
седан,чёрный,Дизель,2013,автоматическая,2.0,218,136000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,3 года и 5 месяцев,1280000
седан,чёрный,Бензин,2008,автоматическая,2.5,218,212700,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,650000
седан,синий,Бензин,1999,механическая,2.8,193,389000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,4 года и 4 месяца,450000
седан,белый,Дизель,2017,автоматическая,2.0,190,102000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1999999
седан,синий,Бензин,2003,механическая,2.5,192,313394,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 5 месяцев,275000
седан,чёрный,Бензин,1999,автоматическая,3.5,245,317250,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,360000
седан,серый,Бензин,2003,автоматическая,3.0,231,340000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,3 месяца,530000
седан,чёрный,Бензин,2006,автоматическая,2.5,218,199240,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,4 года и 11 месяцев,535000
седан,чёрный,Бензин,1991,механическая,2.0,150,385250,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,190000
седан,красный,Бензин,1990,автоматическая,2.5,192,211500,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 6 месяцев,399999
седан,белый,Бензин,2012,автоматическая,2.0,245,78514,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,7 лет и 2 месяца,1295000
седан,синий,Бензин,2000,автоматическая,2.8,193,347000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,9 месяцев,290000
седан,белый,Бензин,1993,механическая,2.0,150,320000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,1 год и 5 месяцев,185000
лифтбек,фиолетовый,Бензин,2011,автоматическая,3.0,306,120400,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1445000
седан,чёрный,Дизель,2017,автоматическая,2.0,190,72000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,2220000
седан,синий,Бензин,2012,автоматическая,2.0,245,187000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет,930000
седан,синий,Бензин,2001,автоматическая,2.2,170,85000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,510000
седан,чёрный,Дизель,2017,автоматическая,2.0,190,30000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 5 месяцев,2500000
седан,коричневый,Дизель,2013,автоматическая,2.0,218,159000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 9 месяцев,1379000
седан,чёрный,Дизель,2016,автоматическая,2.0,190,116200,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1440000
седан,серый,Дизель,2012,автоматическая,3.0,258,115000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1220000
седан,чёрный,Бензин,2007,автоматическая,3.0,272,280000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,550000
седан,чёрный,Бензин,2014,автоматическая,2.0,184,134000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,1190000
седан,белый,Бензин,2014,автоматическая,2.0,184,75700,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1330000
лифтбек,серый,Бензин,2009,автоматическая,3.0,306,134000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 2 месяца,1000000
лифтбек,белый,Дизель,2012,автоматическая,3.0,258,147000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1400000
седан,синий,Бензин,1998,автоматическая,2.0,150,452184,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,2 месяца,235000
седан,белый,Бензин,2019,автоматическая,2.0,184,7856,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,4 месяца,3000000
седан,серебристый,Бензин,1997,автоматическая,2.5,170,375000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,270000
седан,бежевый,Дизель,2012,автоматическая,2.0,218,144000,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,7 месяцев,1050000
седан,белый,Бензин,2012,автоматическая,2.0,245,178000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1090000
седан,синий,Бензин,2013,автоматическая,2.0,245,59000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,7 лет и 5 месяцев,1470000
седан,чёрный,Бензин,2011,автоматическая,2.5,204,205000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,5 лет и 1 месяц,1000000
седан,белый,Бензин,2010,автоматическая,3.0,306,160000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,10 месяцев,1150000
седан,чёрный,Бензин,2004,автоматическая,2.2,170,258200,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 3 месяца,560000
седан,чёрный,Бензин,2007,автоматическая,3.0,272,145200,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,9 лет и 10 месяцев,715000
седан,чёрный,Бензин,2008,автоматическая,2.5,218,173500,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,3 года и 5 месяцев,700000
седан,чёрный,Бензин,2009,автоматическая,2.5,218,148000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,700000
универсал 5 дв.,чёрный,Бензин,1997,автоматическая,2.8,193,440000,задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,220000
седан,зелёный,Бензин,2001,механическая,2.2,170,413000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,260000
седан,чёрный,Бензин,2005,автоматическая,2.5,218,280000,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,520000
седан,серебристый,Дизель,1999,автоматическая,2.9,184,372000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,6 месяцев,435000
седан,белый,Дизель,2017,автоматическая,2.0,190,105189,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,2019000
седан,чёрный,Бензин,2013,автоматическая,2.0,245,80000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет и 5 месяцев,1800000
седан,чёрный,Бензин,2012,автоматическая,2.0,245,146000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1000000
лифтбек,чёрный,Дизель,2013,автоматическая,3.0,258,150000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 11 месяцев,1650000
седан,чёрный,Дизель,2017,автоматическая,2.0,190,85000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,2000000
седан,чёрный,Дизель,1994,автоматическая,2.5,115,380000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,300000
седан,чёрный,Бензин,2013,автоматическая,2.0,245,196000,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,2 года и 6 месяцев,1000000
